Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
Magnificent Home with Two Bedroom Cottage on Golf Course,"Hillcrest, 28/1 Blessing Ninela",4690000,4,4.0,4,2
Neat Home Within Walking Distance To All Local Amenities,"Reefhaven, 18 Graniet Street",990000,3,1.5,1,2
"Brand New, 2 Bedroom addition to the Hartland family.",Hartland Lifestyle Estate,2220000,2,2.0,2,0
Big Family Home,Bo Dorp,1580000,4,2.0,2,0
Surprise......One BIG house,Bo Dorp,970000,3,3.0,0,0
Excellent Townhouse Unit,Eastleigh,1050000,2,1.0,0,0
Plot for sale in Kleinmond,"Kleinmond Central, 46 4th Street",480000,0,0.0,0,0
Full Title house in Bali Village,Waterval East,899000,3,2.0,2,2
Beautiful 2 Bedroom apartment with a view,Lambton,599000,2,1.0,1,0
Architectural Designed to create enviable space,Hermanus Heights,4850000,4,4.0,4,2
Midlands - Smallholding 4ha @ R2 500 000+ vat,"Mooi River, 12 Castle",2500000 ,8,6.0,0,0
"A Magnificent Home -  Beautiful, and Peaceful...",Farrar Park,900000,2,1.0,1,1
Peacefully Located In A Popular Location,De Deur,760000,3,1.0,0,0
"Investors, unit with tenant income R4,980pm",Die Hoewes AH,599000,1,1.0,1,0
2 Bedroom Apartment   Ushaka Marine,Durban Central,995000,2,1.0,2,0
"Starter Low maintenance 1st Floor Townhouse, very central",Goedeburg,749000,2,1.0,1,0
"Bidding to start from R1,800,000!!! Live Auction!!","Shakas Rock, 19/101 Ocean View - Santorini", 1800000,3,2.0,2,1
Amazing views over Rietvlei Dam and the Nature Reserve.,Grootfontein Country Estate,2120000,3,2.0,2,0
Enjoy secure living on the sought after Golf estate!,Emfuleni Golf Estate,1300000,3,2.0,2,0
Large house for a large family,"Oakdene, 87 Michael Street",1875000,4,3.0,3,3
"Spacious 3-bedroom family home with granny flat, Eduan Park",Eduan Park,2185000,3,2.0,2,0
Surrender to comfort in an ideally Positioned home,Vanderbijlpark SE 3,1560000,4,3.0,4,4
"Vanderbijlpark SE1:  Urban Flavor, 4 Bedrooms.",Vanderbijlpark SE 1,1000000,4,2.0,1,2
Vanderbijlpark SE 10: Duplex delight !,Vanderbijlpark SE 10,680000,2,2.0,2,0
Vanderbijlpark SE7:Turn the key to profit,Vanderbijlpark SE 7,1490000,12,3.0,2,2
"Vanderbijlpark SE1: Urban Flavor, 3 Bedrooms House",Vanderbijlpark SE 1,860000,3,2.0,2,1
Vanderbijlpark SE10: Opportunity Knocks Here,Vanderbijlpark SE 10,590000,2,2.0,2,1
Vanderbijlpark SE1: 4 Bedrooms House for Sale,Vanderbijlpark SE 1,750000,4,1.0,1,1
Vanderbijlpark CW3: Affordable Apartment Close to Town,Vanderbijlpark CW 3,370000,2,1.0,1,1
"Great potential-  smallholding, Mullerstunie Vanderbijlpark",Mullerstuine,800000,3,2.0,0,0
Vanderbijlpark SE4: Vacant lanf for Sale,Vanderbijlpark SE 4,390000,0,0.0,0,0
Vanderbijlpark SE4: Vacant Land for Sale,Vanderbijlpark SE 4,620000,0,0.0,0,0
"Vanderbijlpark SE7: Beauty, Warmth & Value",Vanderbijlpark SE 7,1270000,4,2.0,2,2
Vanderbijlpark SE4: Inverstor's Oppturnity,Vanderbijlpark SE 4,1340000,0,0.0,0,0
Vanderbijlpark SE7: Efficient lay - out for Student Housing,Vanderbijlpark SE 7,1400000,3,2.0,2,2
Vanderbijlpark SE7:  Simple Pleasures of a Family Home,Vanderbijlpark SE 7,1300000,3,2.0,2,4
Vanderbijlpark CE 2: 2 Bedrooms Apartment,Vanderbijlpark CE 2,480000,2,1.0,2,0
Inviting Duplex-Cluster that exudes charm and comfort.,Vanderbijlpark SE 4,1200000,3,2.0,2,1
Efficient lay - out for student housing : Bedworth Park !,Bedworth Park,1250000,3,2.0,3,2
Affordable apartment,Annadale,700000,3,1.0,1,0
For the Young at Heart.,Rand Collieries,545000,2,1.0,1,0
Wecome Home!,Paulshof,1279000,2,1.0,1,0
Plot for sale in Kleinmond,"Kleinmond Central, 41 11th Avenue",421000,0,0.0,0,0
Great property with a location to make an absolute success,Springs Central,650000,2,1.0,2,1
Loose standing townhouse direct from the Developer,"Raslouw, 4/460 Jewel Beetle",1099900,2,2.0,0,0
New Town house direct from the Developer,"Raslouw, 3/460 Jewel Beetle",1099900,2,2.0,0,0
Development Opportunity - Vacant Land Parklands - 38 units,Parklands,9650000,0,0.0,0,0
A Ocean Retreat,Treasure Beach,2750000,3,2.0,0,0
Comfy Home in the heart of Widenham,"Widenham, 26 Somerset Road",1750000,4,3.0,3,2
Architecturally designed double storey in secure estate.,Bendor,2690000 ,3,3.0,4,2
"Architecturally designed Double story home, high class esta",Bendor,3090000 ,3,3.0,1,2
Modern architecturally designed home,Bendor,3500000,3,3.0,1,2
2 Bedroom Penthouse in Menlo Park.,Menlo Park,2300000,2,2.0,0,0
"Unlimited Potential, Unnpolished Gem.",Rand Collieries,1610000,4,1.5,3,2
A neat 4 bedroom house in Krugersrus,Krugersrus,938000,4,2.0,3,0
2 Bedroom Townhouse in Brooklyn.,Brooklyn,1270000,2,2.0,0,0
"Stylish, modern lock and go apartment",Fourways,1285000,2,2.0,0,0
"Worth the wait to own, this property it's ready for move in",Sebokeng Zone 14,700000,2,1.0,1,1
South Beach  2 Beds with PARKING,South Beach,799000,2,1.0,1,0
Modern architecturally designed double story home for sale.,Bendor,3500000,3,2.0,1,2
Facebrick unit in gated complex,Oakglen,989000,2,1.0,0,0
BIG Family?? This is your Dream Home in SE 2,Vanderbijlpark SE 2,2780000,5,3.0,3,2
Well located family home in Tara Durbanville,"Sonstraal Heights, 50 Tara Road",2495000,3,2.0,3,0
Tenanted apartment in central location,Goodwood Park,899000,2,1.0,0,0
Lovely ground floor garden flat,Whispering Pines,850000,2,1.0,0,0
Pet-friendly unit in a secure complex,"Townsview, 1/5 North Road",650000,2,1.0,1,2
"Looking for A house with bigger yard, Here it is for U","Lotus Gardens, 3 cyme",820000,3,2.0,0,0
Cosy 3 Bedroom Family Home,"South Crest, 52 Eeufees Street",1345000,3,2.0,0,0
"R 975 000 Chasedene , 3 Bedroom Flat",Chasedene,975000,3,1.0,1,0
Small holding in Andeon AH,"Andeon AH, 1546 Tienie Street",3258900,4,3.0,3,6
Elegant and stylish 2-bedroom apartment,Mooikloof Ridge,730000,2,1.0,3,0
A Large Family Home in Sherwood Gardens,Brakpan North,890000,3,2.0,3,0
Plot for sale in Villa Diamante,"Country Club, 7 Onyx",380000,0,0.0,0,0
"Mooi River- Red Brick Natal Verandah Home @ R1 400 000,00","Mooi River, 33 Alexander Terrace",1400000,4,2.0,2,2
Beauty alert,Strubenvale,2993200,3,2.0,2,2
Plot in Villa Diamante for sale,"Country Club, 8 Onyx",380000,0,0.0,0,0
The Entertainer's Dream,Fairview,3500000,5,7.0,0,0
2 Beds apartment waiting for you to own.,Crystal Park,695000,2,2.0,0,0
Beautiful Kaysers Seaside Village,Kaysers Beach,225000,0,0.0,0,0
Life Style change!! Exquisite,"Meyersdal, 14 Palomino Street",4295000,4,4.5,0,0
"Large Townhouse in Secure, Well managed complex!",Plumstead,1799500,3,2.5,3,1
Expansive Views,St Francis Links,800000,0,0.0,0,0
"Apartment for sale, Nuutgevonden, Stellenbosch",Nuutgevonden,890000,2,2.0,0,0
New Turnkey Home in Popular Kelderhof Country Village,"Kelderhof Country Village, 3284/48a Station Road",2335000,3,2.5,3,1
Brand new and modern Fulltitle Townhouse - Magalieskruin,Magalieskruin,2609735,3,2.0,4,2
Calling all First Time Home Buyers!!!!,"Newlands East, 6/110b Haddock Avenue",400000,2,1.0,1,0
"Lovely Simplex in Chase Valley Downs - R1,590,000",Chase Valley Downs,1590000,3,2.0,1,0
Walk to NU 6 shopping mall,Mdantsane Nu 9,350000,2,1.0,1,0
Luxury living among the trees.,"Freeland Park, 8 Edgerton Road",2800000,4,3.0,3,2
Perfect start up.,"Connaught Estate, 91 Donegal Avenue",650000,3,1.0,0,0
2 Bedroom Apartment in Gonubie,Gonubie,750000,2,1.0,1,0
Immaculate in Hayfields,Hayfields,1750000,3,2.0,1,0
A Feel Good Family Home!,"Kriel, 13 Tambotie",1170000,3,1.0,1,4
See the Potential!,Fairview,950000,4,2.0,2,2
Aaah Agulhas..... Where The Living Is Easy,Agulhas,1870000,2,2.0,2,0
Perfect starter home.,"Valhalla Park, 171 Angela Street",550000,3,1.0,0,0
Buyer friendly!,Newlands,2900000,3,2.0,0,0
3 Bedroom Home Under R500 000,"Rietvallei, 2895 Amazon Street",420000,3,1.0,1,1
House in secure estate in Amandasig,"Amandasig, 6266 Pearl Acasia Loop",1297000,3,2.0,2,1
Don't miss your dream place!!!,Parys,700000,2,2.0,2,1
Extravagant Family Home in SE 3,Vanderbijlpark SE 3,2352000,4,3.0,4,2
WOW..Moove-in ready !,Vanderbijlpark SW 5,899000,3,1.0,1,1
A Lovely Lock-up and go apartment!,"De Velde, 402 De Beers",1050000,1,1.0,1,0
Family home...new in the market.,Vanderbijlpark SW 5,1180000,4,2.0,3,1
A Bargain ! 3 Bed unit in secure complex in Boksburg,Eveleigh,950000,3,2.0,2,0
Modern and move in ready,Broadacres,2899000,3,2.0,3,2
Home Is Where The Heart Is,"Seaward Estates, 1 Seaward",2950000,3,3.0,3,2
Not A Cent To Be Spent,Marina Martinique,2480000,3,3.0,3,0
Large Family home looking for new Owners,"Widenham, 7 Hilltop Road",1350000,5,2.0,2,1
Luxury Duplex,Port St Francis,3960000,3,3.0,2,0
Quite Beautiful Unit,Eastleigh,595000,1,1.0,1,0
Location Location - Die Heuwel Proper,Die Heuwel,1285000,3,3.0,2,2
Location and lifestyle,Parys,2200000,4,2.0,3,2
Priced To Please,"Scottburgh Central, 7 Avalon/146 Williamson Street",550000,1,1.0,1,1
Plot for sale in Kleinmond,"Kleinmond Central, 44 4th Street",540000,0,0.0,0,0
Ultra-spacious three bedroom apartment in Laudium,"Laudium, 259 Himalaya Street",875000,3,1.0,1,1
Prime Piece of Land In A Well Sought After Area,Falcon Ridge,500000,0,0.0,0,0
Small holding in Bon Accord,"Bon Accord, 255 Rivier Street",1597000,13,6.0,6,0
New development house in secure estate in Pretoria North,"Amandasig, 15 Manna Avenue",1460000,3,2.0,2,1
New development in Pretoria North,"Amandasig, 10 Manna Avenue",1460000,3,2.0,2,1
Small holding in Rooiwal,"Mont Lorraine AH, 1662 Bruce Avenue",1195000,4,2.0,2,2
Entertainers Dream,Blue Horizon Bay,3195000,5,3.0,2,0
932mÂ² Sea View Stand - Sandy Point Heights,"Sandy Point, 16 VISTA STREET",265000,0,0.0,0,0
Your forever original with limitless space.,Selection Park,1055000,3,3.0,2,3
Under Offer,"Struisbaai, 17 Roman Crescent",2200000,4,3.0,3,1
Stunning well kept unit in a much sought after Location,"Liefde En Vrede, 7/22 Swempie Crescent",1090000,2,1.0,0,0
Immaculate home in upmarket secure estate,"Westcliff, 56 Nelsons Way, Mariners Village",3850000,4,4.0,4,2
Morningside - 1.5 Bedroom flat,Morningside,950000,1,1.0,1,1
7 Bedroom house for sale in Country Club Langebaan,"Country Club, 46 Fairway Drive",3500000,7,7.0,1,0
Executive Apartment! Views from the top!,Bedfordview,1400000,2,2.0,2,2
Beautiful 3 Bedroom House for Sale in Napier,"Napier, 46 Krag Street",1850000,3,3.0,3,1
South Beach - 2 Bedroom Flat,South Beach,410000,2,1.0,1,0
5 acres of opportunity,Waterfall,5500000,21,16.0,0,0
Modern Contemporary Home,"Sheffield Beach, 1 Albizia Zululami",5730000,3,2.0,2,2
Priced to sell! Ground floor unit in sought after complex!,Marais Steyn Park,800000,2,1.0,0,0
Beautifully Spacious,Tlhabane West,1000000,3,2.0,2,2
Spacious two bedroom two bathroom apartment!,"Marshalltown, 203/14 Harrison Street",750000,2,2.0,0,0
Spacious two bedroom two bathroom apartment!,"Marshalltown, 204/14 Harrison Street",730000,2,2.0,0,0
Ideal Property For A Young Couple Or Scaling Down,Vaalpark,1405000,3,2.0,3,1
'Bonne Esperance' - Good Hope - Simon's Town,"Simons Town Central, 238 Queens Road",7500000,6,4.0,4,2
"Beautiful Two Bedroom, Two Bathroom Apartment at The Sails","Point Waterfront, 17 Timeball Blvd",1895000,2,2.0,2,0
3 Bedroom House for Sale in Klein Parys 2,"Klein Parys, 1/1 Carolina Street",3750000,3,2.0,2,2
Luxury Bush Living At Its Most Accessible,"Hilton Rural, 0 Saxony Wildlife Estate",2000000 ,0,0.0,0,0
Life Style living perfect for singles and children,Mataffin,1595000,3,2.0,2,0
Neat Modern Home In A Sought After Area,"Groblerpark, 1032 Pringle Street",730000,2,1.0,1,0
Nature and views!,Suiderstrand,3795000,3,3.0,3,2
Pietermatitzburg Central apartment,Pietermaritzburg Central,395000,1,1.0,1,0
Excellent Investment - good rental income.,Weavind Park,550000,2,2.0,2,1
New Development,Westbourne,880000,2,1.0,0,0
A Home Filled With Charm and Character.,"Noordheuwel, 66 Keeromberg Street",2100000,3,2.0,2,2
Vacant plot in Seaview,"Seaview, 6 Albany Road",400000,0,0.0,0,0
New Development,"Westbourne, 20 b/20 b southstreet vil Southstreet",995000,2,2.0,0,0
Vanderbijlpark CE7 Worth a Bargain,Vanderbijlpark CE,750000,3,1.0,1,1
Town house located walking distance from CBD,Parys,455000,2,2.0,2,1
"Lovely 3 Bed Simplex,Montclair",Montclair,950000,3,1.0,1,1
A sturdy family home in the Platbos area.,"Stilbaai Wes, 6 Protea street",2590000,4,3.0,3,2
"Prime Plot with views in Zevendal, Kuils River",Zevendal,1400000,0,0.0,0,0
"Musgrave 4 Bedroom Luxurious, Spacious Townhouse",Essenwood,4225000,4,4.0,4,3
Riverfront stand in Estate with foundation and plans,"Kameeldrift East, Portion 904 Farm 298",1800000,0,0.0,0,0
"Unpolluted Upper Vaal River, Willow Creek near Deneysville.",Deneysville,1970000,4,3.0,3,0
Excellent home close to Struisbaai Harbour with sea view,"Struisbaai, 42 Cinneraria Street",3400000,3,3.0,3,0
"3 Bedrooms Chasedene Centre 18 Connor Road R950,000","Chasedene, 6/18 Connor Road",950000,3,1.5,1,0
Four bed Retro home in Well-established location.,Elfindale,2349000,4,2.0,3,2
Family Home with Potential to Expand,"Buccleuch, 79/10 Savannahs, Muller Street South",1860000,3,2.0,2,2
Walking distance to Constantia Primary School ....,"Constantia Kloof, 15Constant/5 Golf Club Terrace",1530000,3,2.0,3,1
Investment Opportunity!,Wavecrest,800000,2,1.0,0,0
Quirky Cottage with Sea Views on a Horsey Acre.,"Crofters Valley, 3 Ticos Way",5995000,2,2.0,3,0
Luxurious home in the sought after Hawaan Forest Estate,"Hawaan Forest Estate, 10 Coral Tree Close",14500000,5,5.0,6,2
Residential 2290m2 property for sale in Louis Trichardt,Louis Trichardt,2150000,3,2.0,0,0
Immaculate in Montrose,"Montrose, 6 Marriot Road",3250000,4,3.0,3,4
Inviting Small Holding Rietvlei View Country Estate,Rietvlei View Country Estates,2090000,3,2.0,2,0
Ideal for an office in ELOFFSDAL.,Eloffsdal,1990000,3,2.0,2,2
Another Gem in Wedgewood,Waterval East,1250000,3,2.0,2,1
Plot for Sale,"St Helena Views, 8 Battery Close",299000,0,0.0,0,0
"4 Bedroom 3,5 bathroom newly build house for sale.","Zambezi Manor Lifestyle Estate, 361 Ammodite",3280000,4,3.0,1,2
Entry level studio apartment new to the market,Parklands,570000,1,1.0,1,0
No Place Like Home!!!,Risiville,1290000,4,2.0,1,0
High Rise double storey Golden Oldie Family home,Mondeor,1899000,4,4.0,4,2
warehouse and offices,Mafikeng Industrial,3335000,6,0.0,0,0
A gorgeous cluster in an access controlled block,Table View,1250000,2,1.0,1,0
Extremely large home in Reyno Ridge with two flats,Reyno Ridge,4270000,3,2.0,3,2
"Indulge your ""Berg"" fantasies",Dawncliffe,2500000,3,1.0,0,0
Attractive family home.,"Muizenberg, 133/133 Pagoda",1425000,3,2.0,2,1
Home in save complex.,Vanderbijlpark CE 2,425000,2,1.0,1,0
Perfect Location,"Umhlanga Rocks, 60 Marine Drive, 9 The Dunes",3100000,3,2.0,2,1
Established guest house and also perfect for extended family,"Westcliff, 106 Canterbury Street",4650000,4,4.0,4,2
A Family Home with French-Style Charm,"Crofters Valley, 33 Sea Cottage Drive",15995000,5,5.0,6,3
Stunning Family Home In A Great Location.,"Fleurhof, 65 Lavender Street",875000,3,1.0,1,0
Developers stand in line,Safari Gardens,12650000,0,0.0,0,0
Look what can be yours!,"Somerset West, 10 Milkwood",4995000,4,6.0,6,3
Perfect for first time buyers,Boitekong,590000,2,2.0,0,0
Family living in beautiful Kloof Falls,"Kloof, 92 Kloof Falls Road",3000000,3,3.0,3,2
Set in a commanding position!,Three Rivers,1440000,4,2.0,3,0
Your DREAM home,Reservoir Hills,1080000,4,1.0,2,1
Summerstrand R1 825 000,Summerstrand,1825000,4,3.0,4,2
Modern two bedroom townhouse in enclosed area,Kempton Park Ext 4,750000,2,2.0,4,0
A Home with Amazing Space in Summerset Estate,"Summerset, 179/179 Summerset Estate, Nederburg Street",4800000,4,3.0,3,2
Great Family Home in SE 2,Vanderbijlpark SE 2,1630000,4,2.0,3,2
Feel Like Royalty In This River Front Mansion,Northdene,9495000,4,3.0,4,2
Warm welcome family home,"Montana Park, 9 Monvilla Estate, Braam Pretorius",1990000,3,2.0,3,2
The Home you've been looking for.,Moreleta Park,2575000,4,2.0,3,0
One of a kind !!,Aloepark,1565000,4,4.0,4,0
Home in Braelyn with potential of Two flats- Negotiable,Braelyn,2495000,4,3.0,4,0
"Vacant stand in Willowbrook, right behind Copperleaf","Peach Tree Estate, 1679 Bessera",750000,0,0.0,0,0
Stylish single storey bordering vineyard with mountain views,Val de Vie Estate,15900000,4,4.0,0,0
4 Star Luxury Kaliva for sale in Club Mykonos,Mykonos,1140000,1,1.0,0,0
"Upstairs unit, Priced to sell!",Helderwyk,650000,2,1.0,0,0
Spacious property in a wonderful area as neat as a pin,Selection Park,950000,3,2.0,2,0
Large stand for Sale in Fisherhaven,"Fisherhaven, 35 Bolero Lane",1000000,0,0.0,0,0
Investment Opportunity,Arboretum,590000,2,1.0,1,0
1st floor unit,Helderwyk,635000,2,1.0,1,0
Plot for sale in Myburgh Park,"Myburgh Park, 84 Tortillis crescent",700000,0,0.0,0,0
Perfect start up apartment.,"Moreleta Park, 81 Hesketh Drive",690000,2,2.0,0,0
Lovely Two Bedroom Apartment,"Parklands, 7/2 Helmsley End",936000,2,1.5,2,0
3 Bedroom Duplex,Meer En See,1050000,3,2.0,3,1
The house is located in a quiet neighboughood,"Jan Niemand Park, 236 Stegmann STREET",1065000,3,2.0,2,2
Panoramic Sea Views!!!,"Chiltern Hills, 64 St. Pauls Avenue",3500000,4,2.0,2,0
Large 10 bedroom family home in a security boomed off area.,Parkrand,3500000,10,6.0,2,0
Give Away Price,Leachville,520000,3,1.0,1,1
A must to view...Family home plus cottage plus offices,"Rynfield, 70 Miles Sharp",2790000,6,4.0,4,2
Looking for a good buy? Then look no further...,Garsfontein,1490000,3,2.0,2,1
Build you dream in Kabeljauws!,Kabeljauws,1200000,0,0.0,0,0
Lovely 3 Bedroom House for Sale in Vanderbiljpark,Vanderbijlpark CE 4,573000,3,2.0,1,0
Bateleur  Value Like this Sells in a Jiffy,Bateleur Estate,2200000,2,2.0,2,2
Privately nestled beauty in Agulhas,Agulhas,350000,0,0.0,0,0
Renovated duplex with private garden,Faerie Glen,920000,2,1.0,0,0
Perfection in its extreme!!!!!,New State Areas,1990000,5,3.0,1,2
Good size vacant stand in Oranjeville at the Vaal Dam,Oranjeville,65000,0,0.0,0,0
Beautifully renovated house in CW 6.,Vanderbijlpark CW 6,810000,3,1.0,2,0
A Family Home of Space And Flexiblilty,Sonland Park,780000,3,2.0,2,3
Vacant Land/Plot for sale in Myburgh Park,Myburgh Park,850000,0,0.0,0,0
Best value for this size of unit 3 bed/2bath/2gar R960k,"Horison View, 8BenmareVi/55 Sonop Street",955000,3,2.0,2,2
Prime location best business opportunity.,Vanderbijlpark SW 1,1250000,2,1.0,2,0
Azure Indian Ocean Views!,Salt Rock,11900000,5,5.0,6,3
Just listed,Viljoenskroon,750000,3,2.0,2,2
Buckingham Estate for Sale,Del Judor,2180000,3,2.0,2,2
Borders on Selborne. Speak to me about your offer.,Lennox Estate,1095000,3,1.0,2,2
Living in A Secured Estate,Brakpan North,525000,2,2.0,2,0
For the beginner,Ben Fleur,780000,2,2.0,2,0
"Well, maintain next to Sasol town.",Sasolburg,920000,3,2.0,3,1
Large Family home in Secure Estate with Stunning View,Bankenveld,3850000,4,3.0,3,2
Musgrave - 2 Bedroom Apartment,Musgrave,1395000,2,1.0,0,0
"Modern,  magnificent, renovated home with stunning views",Plattekloof,6195000,4,3.0,4,2
Beautiful 5 bedroom house in secure golf estate.,Ebotse Golf Estate,7400000,5,3.0,1,2
Very Prestigious Complex situated on Prime Location!,Arcadia,1775000,2,2.0,1,0
New on the Market,Chasedene,950000,3,1.5,0,0
Ready To Move In,Nelspruit,2200000,2,2.0,2,2
3 Bed Townhouse in Beacon Bay,Beacon Bay,1275000,3,2.0,1,0
Fantastic Family Home in Perfect Neighborhood,Vanderbijlpark SW 2,1337000,3,2.0,2,2
"Perfect 4 Bed, 3 Bathroom Townhouse in Emerald Crescent",Vanderbijlpark SE 2,1604000,4,3.0,4,2
Best Location and Best Value,Dalview,1140000,3,1.0,1,1
Come See - Come Sign!,Dowerglen,2350000,3,2.0,2,2
"Superb, Convinient, Location With Functional Family Home.",New State Areas,1350000,4,2.0,2,0
Vacant Land/Plot for Sale in Calypso Beach,Calypso Beach,770000,0,0.0,0,0
"Centrally Situated  2 bedroom simplex, pet friendly!",Amanzimtoti,780000,2,1.0,1,1
Scenic views times two,"Stilbaai Wes, 4426 Seebries complex",695000,0,0.0,0,0
Majestic Sea Vistas,"Simbithi Eco Estate, 17 Pigeonwood",5299000,0,0.0,0,0
Homely 3 bedroom house,Philip Nel Park,1047000,3,2.0,0,0
Great land in Wigwam,Wigwam,652000,0,0.0,0,0
"Dazzling Apartment, Upmarket Area!","Morningside, 10 Duo Via Centrale, Centre Road",1790000,2,2.5,0,0
Small Home and Flatlet in Sought After Manorfields Estate,Hillcrest,2575000,3,2.0,0,0
Privacy And Peace Amongst The Trees!,Harkerville AH,2700000,2,2.0,2,1
Perfect family home situated in central La Lucia,"La Lucia, 14 Churchill Road, 11 Glen Eden",3995000,4,2.0,2,4
